index_code,date,open,close,low,high,volume,money,change
002271.SZ,2018/10/19,11.29,11.7,10.71,11.75,256022.86,291720.091,0.39
002271.SZ,2018/10/26,13.12,12.88,12.85,13.17,97385.05,126554.078,-0.24
002271.SZ,2018/11/1,14.6,13.6,13.56,14.6,289773.32,406414.831,0.11
002271.SZ,2018/11/15,14.51,14.52,14.15,14.55,107840.17,155222.649,0.11
002271.SZ,2018/11/2,14.39,14.38,13.91,14.65,374799.61,536772.569,0.78
002271.SZ,2018/11/23,14.22,13.69,13.62,14.34,93423.6,129486.447,-0.53
002271.SZ,2018/11/28,13.8,14.1,13.53,14.15,91853.5,127929.192,0.27
002271.SZ,2018/11/6,14.7,14.67,14.47,14.73,77110.32,112524.891,-0.1
002271.SZ,2018/11/8,14.62,14,13.91,14.7,190378.63,269321.255,-0.58
002271.SZ,2018/11/9,13.74,13.63,13.57,13.98,181244.5,248752.62,-0.37
002271.SZ,2018/12/10,14.66,14.28,14.23,14.85,116135,167658.884,-0.46
002271.SZ,2018/12/11,14.35,14.11,13.85,14.47,130199.59,183163.905,-0.17
002271.SZ,2018/12/12,14.17,14.07,14.05,14.26,82723.13,117105.024,-0.04
002271.SZ,2018/12/13,14.15,15.18,14.12,15.37,304806.41,455394.994,1.11
002271.SZ,2018/12/14,15.1,15.27,15.05,15.64,343366.1,526826.287,0.09
002271.SZ,2018/12/17,15.33,15.2,14.92,15.41,192734.76,292405.907,-0.07
002271.SZ,2018/12/18,15.15,14.62,14.5,15.15,160332.72,236231.478,-0.58
002271.SZ,2018/12/19,14.64,14.64,14.62,15.03,139404.43,206620.461,0.02
002271.SZ,2018/12/20,14.65,14.64,14.36,14.89,116479.21,170822.632,0
002271.SZ,2018/12/21,14.61,14.23,14,14.68,123900.56,176391.458,-0.41
002271.SZ,2018/12/24,14.28,14.34,14.15,14.72,125108.12,180115.829,0.11
002271.SZ,2018/12/25,14.11,14.16,13.74,14.25,121627.35,170448.582,-0.18
002271.SZ,2018/12/26,14.1,13.91,13.81,14.29,103897.49,144964.206,-0.25
002271.SZ,2018/12/27,14.19,13.15,13.15,14.24,215094.18,290792.907,-0.76
002271.SZ,2018/12/28,13.2,12.95,12.75,13.28,175633.59,227086.033,-0.2
002271.SZ,2018/12/7,14.34,14.74,14.34,14.75,108066.4,158137.412,0.4
002271.SZ,2018/8/2,16.72,16.02,15.35,16.72,279843.96,444963.394,-0.82
002271.SZ,2018/9/11,14.7,14.5,14.36,14.82,122942.74,178894.194,-0.21
002271.SZ,2018/9/13,14.55,14.53,14.23,14.57,77094.19,111143.206,0.14
002271.SZ,2019/1/10,13.49,13.61,13.4,13.73,104605.58,142517.239,0.13
002271.SZ,2019/1/11,13.67,13.72,13.41,13.76,103060.08,140231.566,0.11
002271.SZ,2019/1/14,13.75,14.13,13.68,14.25,188689.8,265306.952,0.41
002271.SZ,2019/1/15,14.03,14.74,14,14.79,190810.48,275953.637,0.61
002271.SZ,2019/1/16,14.74,14.9,14.62,15.35,224123.67,335965.097,0.16
002271.SZ,2019/1/17,14.8,14.91,14.64,15.13,136314.82,203201.017,0.01
002271.SZ,2019/1/18,14.9,15.21,14.82,15.29,121825.1,183408.79,0.3
002271.SZ,2019/1/2,13,13.05,12.97,13.26,100378.6,131381.507,0.1
002271.SZ,2019/1/21,15.2,15.03,14.85,15.37,174911.12,263263.291,-0.18
002271.SZ,2019/1/22,15.06,14.96,14.95,15.3,136501.65,206321.546,-0.07
002271.SZ,2019/1/23,14.95,15.79,14.92,15.95,279261.06,434531.935,0.83
002271.SZ,2019/1/24,15.88,15.64,15.55,16.06,136023.38,213980.793,-0.15
002271.SZ,2019/1/25,15.8,15.99,15.72,16.58,236810.55,382378.838,0.35
002271.SZ,2019/1/28,15.99,16.22,15.99,16.57,203079.09,330818.735,0.23
002271.SZ,2019/1/29,16.18,16.05,15.53,16.25,155275.51,247036.348,-0.17
002271.SZ,2019/1/3,13.05,12.41,12.36,13.06,195331.94,245938.992,-0.64
002271.SZ,2019/1/30,16.05,15.86,15.7,16.07,105340.92,167462.185,-0.19
002271.SZ,2019/1/31,15.85,16.15,15.84,16.41,132348.98,213323.126,0.29
002271.SZ,2019/1/4,12.3,13.11,12.2,13.11,199158.69,253377.615,0.7
002271.SZ,2019/1/7,13.26,13.4,13.22,13.75,247051.42,331624.771,0.29
002271.SZ,2019/1/8,13.39,13.36,13.25,13.65,110680.46,148656.09,-0.04
002271.SZ,2019/1/9,13.43,13.48,13.32,13.8,187687.5,255180.469,0.12
002271.SZ,2019/10/10,21.55,21.56,21.3,21.7,75294.65,161540.201,0.06
002271.SZ,2019/10/11,21.52,22.17,21.52,22.26,198045.5,436149.467,0.61
002271.SZ,2019/10/14,22.3,22.57,22.3,22.94,176150.95,398992.73,0.4
002271.SZ,2019/10/15,22.36,22.47,22.29,22.88,120873.65,272299.431,-0.1
002271.SZ,2019/10/16,22.4,22.27,22.13,22.75,84729.7,189433.333,-0.2
002271.SZ,2019/10/17,22.2,22.64,21.75,22.65,101983.86,227486.946,0.37
002271.SZ,2019/10/18,22.46,21.62,21.62,22.54,155439.45,341795.427,-1.02
002271.SZ,2019/10/21,21.69,21.8,21.66,22.02,82414.25,180102.01,0.18
002271.SZ,2019/10/22,21.99,21.92,21.66,22.2,57935.47,126762.795,0.12
002271.SZ,2019/10/23,21.81,21.89,21.74,22.14,40433.73,88792.865,-0.03
002271.SZ,2019/10/24,21.85,21.45,21.39,21.97,72799,157365.304,-0.44
002271.SZ,2019/10/25,21.66,22.2,21.5,22.2,114540.11,251673.365,0.75
002271.SZ,2019/10/28,22.2,22.45,21.77,22.53,126574.06,280989.388,0.25
002271.SZ,2019/10/29,22.05,23.17,22.05,23.45,263551.86,606082.785,0.72
002271.SZ,2019/10/30,23.18,23.26,23,23.59,254095.33,591831.708,0.09
002271.SZ,2019/10/31,23.55,23.45,23.11,23.58,246292.11,576386.497,0.19
002271.SZ,2019/10/8,20.86,21.7,20.86,21.95,175247.03,379419.785,0.68
002271.SZ,2019/10/9,21.71,21.5,21.15,21.8,105426.54,225599.815,-0.2
002271.SZ,2019/11/1,23.45,24.46,23.18,24.48,328702.06,791158.427,1.01
002271.SZ,2019/11/11,24.07,23.68,23.59,24.33,172111.64,411352.908,-0.58
002271.SZ,2019/11/12,23.96,23.61,23.38,23.98,134588.32,317708.217,-0.07
002271.SZ,2019/11/13,23.77,23.95,23.61,24.15,134629.98,321887.16,0.34
002271.SZ,2019/11/14,24.05,23.85,23.69,24.24,91883.02,219979.552,-0.1
002271.SZ,2019/11/15,23.99,23.6,23.55,24.15,116260.28,276586.733,-0.25
002271.SZ,2019/11/18,23.6,24.24,23.39,24.24,134501.19,320829.226,0.64
002271.SZ,2019/11/19,24.27,24.64,24.1,24.65,177747.34,433370.568,0.4
002271.SZ,2019/11/20,24.75,24.2,24.11,24.82,119976.33,292457.412,-0.44
002271.SZ,2019/11/21,24.17,24.25,24,24.38,63351.24,153264.371,0.05
002271.SZ,2019/11/22,24.34,24.01,23.78,24.82,134319.63,326306.166,-0.24
002271.SZ,2019/11/25,24.12,25.35,24.1,25.35,262891.71,654228.713,1.34
