date,Pos,Neg,AvePos,AveNeg,StdPos,StdNeg,next1day_open
2018/10/19,246493,284363.5,88.6,102.2,58.6,106.6,11.39
2018/10/26,100760,71308,62,43.9,36.4,33.8,12.37
2018/11/1,7154,7757,18.7,20.3,11.4,10.1,12.75
2018/11/15,54706,28783,54.8,28.8,25.8,16.1,14.55
2018/11/15,79746,120161.5,53.1,80,36.3,55.3,14.55
2018/11/15,2497836,17729,3651.8,25.9,2839.2,19,14.55
2018/11/2,70819,80817.5,54.1,61.8,24.7,129.4,14.6
2018/11/23,49,63,1.4,1.9,0.7,0.4,14.48
2018/11/28,142949,129571,75.3,68.3,42.3,113.4,14.18
2018/11/6,255188,599880.5,77.6,182.5,74.8,112.6,14.4
2018/11/8,364,308,2.6,2.2,3.2,2.5,14.67
2018/11/9,424884.5,1586846.5,97.1,362.8,76.2,202.3,14.62
2018/11/9,2465,936,13.8,5.2,6.9,2.7,14.62
2018/12/10,3394,2928.5,11.3,9.8,9.2,8.4,14.34
2018/12/10,29575,32536.5,33.2,36.5,20.7,24.2,14.34
2018/12/11,175578,220249,85.4,107.1,48.7,61,14.66
2018/12/11,20,10,0.8,0.4,0.8,0.5,14.66
2018/12/11,0,0,0,0,0,0,14.66
2018/12/11,6,0,0.5,0,0.5,0,14.66
2018/12/11,0,0,0,0,0,0,14.66
2018/12/11,0,0,0,0,0,0,14.66
2018/12/11,32,99,1,3.1,0.6,2.8,14.66
2018/12/11,15,0,1,0,0,0,14.66
2018/12/11,0,10,0,0.7,0,0.5,14.66
2018/12/11,18,0,1,0,0,0,14.66
2018/12/11,0,10,0,0.7,0,0.5,14.66
2018/12/11,0,0,0,0,0,0,14.66
2018/12/11,228,508,2.7,6.1,2.2,2.3,14.66
2018/12/11,17,4,1,0.2,0.6,0.4,14.66
2018/12/11,0,0,0,0,0,0,14.66
2018/12/11,0,0,0,0,0,0,14.66
2018/12/11,0,0,0,0,0,0,14.66
2018/12/11,12,17,0.9,1.2,0.3,0.8,14.66
2018/12/11,6,10,0.5,0.8,0.5,0.4,14.66
2018/12/12,27956,75767.5,23.4,63.4,16.8,134,14.35
2018/12/12,179,63,3.4,1.2,2.1,0.8,14.35
2018/12/12,27,10,1,0.4,0,0.5,14.35
2018/12/12,76,158,0.7,1.5,0.4,0.8,14.35
2018/12/12,0,0,0,0,0,0,14.35
2018/12/12,228,596,2.5,6.5,2.3,2.9,14.35
2018/12/12,17,22,0.5,0.7,0.7,0.7,14.35
2018/12/12,0,0,0,0,0,0,14.35
2018/12/12,0,0,0,0,0,0,14.35
2018/12/12,0,0,0,0,0,0,14.35
2018/12/12,30,36,1.6,1.9,0.6,0.9,14.35
2018/12/13,155994,185256.5,82.9,98.4,44.7,64.4,14.17
2018/12/13,1324,2851,7.7,16.5,2.8,8.7,14.17
2018/12/13,885,52454,4.8,282,3.4,179.3,14.17
2018/12/13,17,89,0.2,1.2,0.5,0.7,14.17
2018/12/13,0,61,0,1.7,0,0.6,14.17
2018/12/13,30,68,0.7,1.5,0.9,1.4,14.17
2018/12/13,57,10,1.2,0.2,0.9,0.4,14.17
2018/12/13,-12,79,-0.2,1.1,0.8,1.3,14.17
2018/12/13,1010,192,8,1.5,5.5,1.9,14.17
2018/12/13,0,0,0,0,0,0,14.17
2018/12/13,1016,669,11.3,7.4,4.2,3.1,14.17
2018/12/13,140,58,3.3,1.4,1.8,0.9,14.17
2018/12/13,36,10,1,0.3,0.9,0.5,14.17
2018/12/13,76,158,0.7,1.4,0.5,0.9,14.17
2018/12/13,138,120,4.1,3.5,3.5,3,14.17
2018/12/13,273,251,5.6,5.1,3.1,2.8,14.17
2018/12/13,81,60,1,0.8,1.4,0.7,14.17
2018/12/13,76,334,0.7,3.2,0.5,1.5,14.17
2018/12/13,0,0,0,0,0,0,14.17
2018/12/13,496,2034,3.5,14.5,2.3,6.7,14.17
2018/12/13,17,22,0.3,0.4,0.6,0.6,14.17
2018/12/13,0,0,0,0,0,0,14.17
2018/12/13,96,42,3,1.3,1.4,0.9,14.17
2018/12/13,0,0,0,0,0,0,14.17
2018/12/13,30,36,1,1.2,0.9,1.1,14.17
2018/12/13,57,10,1.5,0.3,0.8,0.4,14.17
2018/12/13,0,25,0,1,0,0.2,14.17
2018/12/13,72,55,1.3,1,0.9,1,14.17
2018/12/13,0,0,0,0,0,0,14.17
2018/12/13,0,0,0,0,0,0,14.17
2018/12/13,32,99,0.8,2.4,0.7,2.8,14.17
2018/12/13,15,0,0.5,0,0.5,0,14.17
2018/12/13,36,10,1.3,0.4,0.9,0.5,14.17
2018/12/13,76,158,0.7,1.5,0.4,0.9,14.17
2018/12/13,22,22,1.5,1.5,0.9,0.9,14.17
2018/12/14,255301,219025.5,115.4,99,63.9,60.1,14.15
2018/12/14,364,308,4.5,3.8,3.1,2.1,14.15
2018/12/14,401,244,3.3,2,1.6,1.2,14.15
2018/12/14,351,423,3.6,4.4,1.4,1.8,14.15
2018/12/14,0,61,0,1.4,0,0.9,14.15
2018/12/14,162,152,3.7,3.5,2.5,1.6,14.15
2018/12/14,278,273,5,4.9,3.2,3.3,14.15
2018/12/14,120,158,2.1,2.7,1.4,1.9,14.15
2018/12/14,151,104,2.6,1.8,1.5,1,14.15
2018/12/14,285,169,5.1,3,2.4,1.1,14.15
2018/12/14,-12,79,-0.2,1,0.8,1.3,14.15
2018/12/14,1010,192,7.5,1.4,5.7,1.9,14.15
2018/12/14,216,200,4.4,4.1,2.7,2.5,14.15
2018/12/14,2083,1433,18.3,12.6,8.8,6.3,14.15
2018/12/14,195,58,3.5,1.1,2.1,1,14.15
2018/12/14,193,162,3.2,2.7,1.4,1.1,14.15
2018/12/14,419,748,3.1,5.5,1.4,2.2,14.15
2018/12/14,216,198,4.2,3.9,3.9,3.4,14.15
2018/12/14,81,145,0.9,1.6,1.4,0.8,14.15
2018/12/14,76,334,0.7,3,0.5,1.6,14.15
2018/12/14,0,0,0,0,0,0,14.15
2018/12/14,496,2034,3.2,13.2,2.4,7.6,14.15
2018/12/14,162,108,3.9,2.6,2.4,1.6,14.15
2018/12/14,0,0,0,0,0,0,14.15
2018/12/17,306390,227954.5,117.9,87.7,73.7,66.5,15.1
2018/12/17,3825,2723,15.9,11.3,7.8,6.8,15.1
2018/12/17,4407,4129,14.7,13.8,10.4,6.8,15.1
2018/12/17,139,0,1.8,0,0.5,0,15.1
2018/12/17,3443,55,9.4,0.2,6.2,0.5,15.1
