ts_code,date,open,close,low,high,vol,amount,change,max_Pos,max_Neg,max_AvePos,max_AveNeg,max_StdPos,max_StdNeg,next1day_open,next1day_low,next1day_high,next1day_vol,next1day_close
002271.SZ,2018/10/19,11.29,11.7,10.71,11.75,256022.86,291720.091,0.39,246493,284363.5,88.6,102.2,58.6,106.6,11.39,11.05,11.75,300203.31,11.31
002271.SZ,2018/10/26,13.12,12.88,12.85,13.17,97385.05,126554.078,-0.24,100760,71308,62,43.9,36.4,33.8,12.37,12.21,13.14,178592.26,13.12
002271.SZ,2018/11/1,14.6,13.6,13.56,14.6,289773.32,406414.831,0.11,7154,7757,18.7,20.3,11.4,10.1,12.75,12.74,13.75,209891.86,13.49
002271.SZ,2018/11/15,14.51,14.52,14.15,14.55,107840.17,155222.649,0.11,79746,28783,54.8,80,36.3,55.3,14.55,14.31,14.86,100329.69,14.41
002271.SZ,2018/11/2,14.39,14.38,13.91,14.65,374799.61,536772.569,0.78,70819,80817.5,54.1,61.8,24.7,129.4,14.6,13.56,14.6,289773.32,13.6
002271.SZ,2018/11/23,14.22,13.69,13.62,14.34,93423.6,129486.447,-0.53,49,63,1.4,1.9,0.7,0.4,14.48,14.14,14.56,59259.76,14.22
002271.SZ,2018/11/28,13.8,14.1,13.53,14.15,91853.5,127929.192,0.27,142949,129571,75.3,68.3,42.3,113.4,14.18,13.75,14.18,47390.04,13.83
002271.SZ,2018/11/6,14.7,14.67,14.47,14.73,77110.32,112524.891,-0.1,255188,599880.5,77.6,182.5,74.8,112.6,14.4,14.24,15.05,214253.96,14.77
002271.SZ,2018/11/8,14.62,14,13.91,14.7,190378.63,269321.255,-0.58,364,308,2.6,2.2,3.2,2.5,14.67,14.5,14.96,87935.86,14.58
002271.SZ,2018/11/9,13.74,13.63,13.57,13.98,181244.5,248752.62,-0.37,424884.5,936,97.1,5.2,76.2,202.3,14.62,13.91,14.7,190378.63,14
002271.SZ,2018/12/10,14.66,14.28,14.23,14.85,116135,167658.884,-0.46,3394,32536.5,33.2,9.8,9.2,8.4,14.34,14.34,14.75,108066.4,14.74
002271.SZ,2018/12/11,14.35,14.11,13.85,14.47,130199.59,183163.905,-0.17,6,99,85.4,6.1,48.7,61,14.66,14.23,14.85,116135,14.28
002271.SZ,2018/12/12,14.17,14.07,14.05,14.26,82723.13,117105.024,-0.04,76,75767.5,3.4,63.4,2.3,2.9,14.35,13.85,14.47,130199.59,14.11
002271.SZ,2018/12/13,14.15,15.18,14.12,15.37,304806.41,455394.994,1.11,96,99,82.9,98.4,5.5,8.7,14.17,14.05,14.26,82723.13,14.07
002271.SZ,2018/12/14,15.1,15.27,15.05,15.64,343366.1,526826.287,0.09,81,79,7.5,99,8.8,7.6,14.15,14.12,15.37,304806.41,15.18
002271.SZ,2018/12/17,15.33,15.2,14.92,15.41,192734.76,292405.907,-0.07,650,936,9.4,87.7,73.7,9.2,15.1,15.05,15.64,343366.1,15.27
002271.SZ,2018/12/18,15.15,14.62,14.5,15.15,160332.72,236231.478,-0.58,76108,84794.5,7,72.1,7.9,9.6,15.33,14.92,15.41,192734.76,15.2
002271.SZ,2018/12/19,14.64,14.64,14.62,15.03,139404.43,206620.461,0.02,790,721,9.3,8.6,7.2,4.7,15.15,14.5,15.15,160332.72,14.62
002271.SZ,2018/12/20,14.65,14.64,14.36,14.89,116479.21,170822.632,0,905,833,7.7,9.9,9.8,8.4,14.64,14.62,15.03,139404.43,14.64
002271.SZ,2018/12/21,14.61,14.23,14,14.68,123900.56,176391.458,-0.41,787,8628,9,9.7,8.5,8.4,14.65,14.36,14.89,116479.21,14.64
002271.SZ,2018/12/24,14.28,14.34,14.15,14.72,125108.12,180115.829,0.11,899,932,8.9,9.2,9.8,7.5,14.61,14,14.68,123900.56,14.23
002271.SZ,2018/12/25,14.11,14.16,13.74,14.25,121627.35,170448.582,-0.18,67018,9918,9.4,73.2,5.1,9.2,14.28,14.15,14.72,125108.12,14.34
002271.SZ,2018/12/26,14.1,13.91,13.81,14.29,103897.49,144964.206,-0.25,84033,98307.5,9.3,9.5,9.6,99.3,14.11,13.74,14.25,121627.35,14.16
002271.SZ,2018/12/27,14.19,13.15,13.15,14.24,215094.18,290792.907,-0.76,9893,978,9.9,9.8,9.8,9.7,14.1,13.81,14.29,103897.49,13.91
002271.SZ,2018/12/28,13.2,12.95,12.75,13.28,175633.59,227086.033,-0.2,9893,99613.5,9.2,9.4,9.3,9.6,14.19,13.15,14.24,215094.18,13.15
002271.SZ,2018/12/7,14.34,14.74,14.34,14.75,108066.4,158137.412,0.4,76,158,0.8,1.7,0.4,0.7,14.54,14.17,14.54,63704.23,14.34
002271.SZ,2018/8/2,16.72,16.02,15.35,16.72,279843.96,444963.394,-0.82,264043,206684,120.5,94.3,60.7,67.1,17.15,16.81,17.84,264848.58,16.84
002271.SZ,2018/9/11,14.7,14.5,14.36,14.82,122942.74,178894.194,-0.21,31315020.5,513094.5,9767.6,160,6705.2,101.5,15,14.68,15.04,81568.43,14.71
002271.SZ,2018/9/13,14.55,14.53,14.23,14.57,77094.19,111143.206,0.14,306096,220609,127.6,92,68,69.7,14.53,14.21,14.55,82885.34,14.39
002271.SZ,2019/1/10,13.49,13.61,13.4,13.73,104605.58,142517.239,0.13,7038,6184,94.9,85.9,50.3,9.6,13.43,13.32,13.8,187687.5,13.48
002271.SZ,2019/1/11,13.67,13.72,13.41,13.76,103060.08,140231.566,0.11,7892,8146.5,9.2,99.4,9.9,7.1,13.49,13.4,13.73,104605.58,13.61
002271.SZ,2019/1/14,13.75,14.13,13.68,14.25,188689.8,265306.952,0.41,81596,9918,55.9,80.3,56.6,9.5,13.67,13.41,13.76,103060.08,13.72
002271.SZ,2019/1/15,14.03,14.74,14,14.79,190810.48,275953.637,0.61,83061,9918,9.7,99,65.2,9.9,13.75,13.68,14.25,188689.8,14.13
002271.SZ,2019/1/16,14.74,14.9,14.62,15.35,224123.67,335965.097,0.16,93445,9918,92.6,93.2,7.4,72.8,14.03,14,14.79,190810.48,14.74
002271.SZ,2019/1/17,14.8,14.91,14.64,15.13,136314.82,203201.017,0.01,87525,9918,92,99.2,7.8,74.1,14.74,14.62,15.35,224123.67,14.9
002271.SZ,2019/1/18,14.9,15.21,14.82,15.29,121825.1,183408.79,0.3,93613,9918,99.5,99.7,8,8.1,14.8,14.64,15.13,136314.82,14.91
002271.SZ,2019/1/2,13,13.05,12.97,13.26,100378.6,131381.507,0.1,84033,8791,8.1,76.7,8.5,7.9,13.2,12.75,13.28,175633.59,12.95
002271.SZ,2019/1/21,15.2,15.03,14.85,15.37,174911.12,263263.291,-0.18,36114,9918,91.2,99.1,67.7,8.2,14.9,14.82,15.29,121825.1,15.21
002271.SZ,2019/1/22,15.06,14.96,14.95,15.3,136501.65,206321.546,-0.07,87568.75,7180,65.7,98.7,8.1,81.5,15.2,14.85,15.37,174911.12,15.03
002271.SZ,2019/1/23,14.95,15.79,14.92,15.95,279261.06,434531.935,0.83,8943,97902.5,91.9,96.5,9,8.5,15.06,14.95,15.3,136501.65,14.96
002271.SZ,2019/1/24,15.88,15.64,15.55,16.06,136023.38,213980.793,-0.15,7073,81965,66.8,96.4,8.3,82.8,14.95,14.92,15.95,279261.06,15.79
002271.SZ,2019/1/25,15.8,15.99,15.72,16.58,236810.55,382378.838,0.35,87568.75,83159,68.8,98.2,8.7,84.4,15.88,15.55,16.06,136023.38,15.64
002271.SZ,2019/1/28,15.99,16.22,15.99,16.57,203079.09,330818.735,0.23,90686.75,83159,89.1,99.6,73.9,66.5,15.8,15.72,16.58,236810.55,15.99
002271.SZ,2019/1/29,16.18,16.05,15.53,16.25,155275.51,247036.348,-0.17,93831.75,85577,88.5,98.3,8.8,85,15.99,15.99,16.57,203079.09,16.22
002271.SZ,2019/1/3,13.05,12.41,12.36,13.06,195331.94,245938.992,-0.64,885,95408.5,86.3,9,9.7,9.8,13,12.97,13.26,100378.6,13.05
002271.SZ,2019/1/30,16.05,15.86,15.7,16.07,105340.92,167462.185,-0.19,72386,95442.0625,88.1,89.4,8.9,85.3,16.18,15.53,16.25,155275.51,16.05
002271.SZ,2019/1/31,15.85,16.15,15.84,16.41,132348.98,213323.126,0.29,51361,98636,99.4,97.3,75.2,67,16.05,15.7,16.07,105340.92,15.86
002271.SZ,2019/1/4,12.3,13.11,12.2,13.11,199158.69,253377.615,0.7,9398,9306,9.9,78,9.4,8.3,13.05,12.36,13.06,195331.94,12.41
002271.SZ,2019/1/7,13.26,13.4,13.22,13.75,247051.42,331624.771,0.29,78822,88875.5,93.3,86.7,9.8,8.8,12.3,12.2,13.11,199158.69,13.11
002271.SZ,2019/1/8,13.39,13.36,13.25,13.65,110680.46,148656.09,-0.04,81904,88875.5,86.6,9,9.8,9.3,13.26,13.22,13.75,247051.42,13.4
002271.SZ,2019/1/9,13.43,13.48,13.32,13.8,187687.5,255180.469,0.12,81596,91724.5,9.5,81.5,9.9,6,13.39,13.25,13.65,110680.46,13.36
002271.SZ,2019/10/10,21.55,21.56,21.3,21.7,75294.65,161540.201,0.06,596789,778853.5,624.7,464,94.6,97.2,21.71,21.15,21.8,105426.54,21.5
002271.SZ,2019/10/11,21.52,22.17,21.52,22.26,198045.5,436149.467,0.61,761831,898620.5,89.8,465.6,94.9,92.3,21.55,21.3,21.7,75294.65,21.56
002271.SZ,2019/10/14,22.3,22.57,22.3,22.94,176150.95,398992.73,0.4,761831,898620.5,99.9,242.3,93.2,97.3,21.52,21.52,22.26,198045.5,22.17
002271.SZ,2019/10/15,22.36,22.47,22.29,22.88,120873.65,272299.431,-0.1,777762,909240.5,70.9,466,95.2,97.6,22.3,22.3,22.94,176150.95,22.57
002271.SZ,2019/10/16,22.4,22.27,22.13,22.75,84729.7,189433.333,-0.2,777762,909240.5,621.4,464,95.6,97.5,22.36,22.29,22.88,120873.65,22.47
002271.SZ,2019/10/17,22.2,22.64,21.75,22.65,101983.86,227486.946,0.37,815227,909240.5,72.4,465,96.4,98,22.4,22.13,22.75,84729.7,22.27
002271.SZ,2019/10/18,22.46,21.62,21.62,22.54,155439.45,341795.427,-1.02,815227,831957.5,73.7,468.4,96.4,98,22.2,21.75,22.65,101983.86,22.64
002271.SZ,2019/10/21,21.69,21.8,21.66,22.02,82414.25,180102.01,0.18,815227,833164.5,78.4,270.3,96.6,98.4,22.46,21.62,22.54,155439.45,21.62
002271.SZ,2019/10/22,21.99,21.92,21.66,22.2,57935.47,126762.795,0.12,727427,832078.5,79,471.1,96.8,96.8,21.69,21.66,22.02,82414.25,21.8
002271.SZ,2019/10/23,21.81,21.89,21.74,22.14,40433.73,88792.865,-0.03,815227,787277.5,619.4,471.7,97,98.6,21.99,21.66,22.2,57935.47,21.92
002271.SZ,2019/10/24,21.85,21.45,21.39,21.97,72799,157365.304,-0.44,741516,839593.5,80.3,386.9,99.1,98.8,21.81,21.74,22.14,40433.73,21.89
002271.SZ,2019/10/25,21.66,22.2,21.5,22.2,114540.11,251673.365,0.75,709161.5,839593.5,80.2,470.6,97.3,99,21.85,21.39,21.97,72799,21.45
002271.SZ,2019/10/28,22.2,22.45,21.77,22.53,126574.06,280989.388,0.25,765508,839593.5,80,473.2,98.3,96,21.66,21.5,22.2,114540.11,22.2
002271.SZ,2019/10/29,22.05,23.17,22.05,23.45,263551.86,606082.785,0.72,784822,878642.5,82.2,493.2,97.9,99.4,22.2,21.77,22.53,126574.06,22.45
002271.SZ,2019/10/30,23.18,23.26,23,23.59,254095.33,591831.708,0.09,784822,878642.5,83,492.1,94.4,99.6,22.05,22.05,23.45,263551.86,23.17
002271.SZ,2019/10/31,23.55,23.45,23.11,23.58,246292.11,576386.497,0.19,784822,893240.5,81,388.7,98.2,99.9,23.18,23,23.59,254095.33,23.26
002271.SZ,2019/10/8,20.86,21.7,20.86,21.95,175247.03,379419.785,0.68,751225,893324.5,90.2,466.1,94.2,99.7,20.83,20.8,21.66,141144.26,21.02
002271.SZ,2019/10/9,21.71,21.5,21.15,21.8,105426.54,225599.815,-0.2,751225,893324.5,91.9,465,94.5,99.9,20.86,20.86,21.95,175247.03,21.7
002271.SZ,2019/11/1,23.45,24.46,23.18,24.48,328702.06,791158.427,1.01,784822,893240.5,80.9,491.1,94.6,96.1,23.55,23.11,23.58,246292.11,23.45
002271.SZ,2019/11/11,24.07,23.68,23.59,24.33,172111.64,411352.908,-0.58,829720,925752.5,89.7,488.9,95.7,98.1,24.9,24.16,25.1,160805.27,24.26
002271.SZ,2019/11/12,23.96,23.61,23.38,23.98,134588.32,317708.217,-0.07,834790,925752.5,90.1,490.4,95.8,98.7,24.07,23.59,24.33,172111.64,23.68
002271.SZ,2019/11/13,23.77,23.95,23.61,24.15,134629.98,321887.16,0.34,850940,890643.5,607.3,490.3,87.6,89.6,23.96,23.38,23.98,134588.32,23.61
